id_tenrac,nom,prenom,courriel,telephone,adresse_postale,id_grade,id_entretien
31,Meyer,Robert,robert.meyer31@amu.fr,0600000031,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9308, 43.5257, NULL), NULL, NULL)",4,32
32,Navarro,Suzanne,suzanne.navarro32@amu.fr,0600000032,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4575, 43.9486, NULL), NULL, NULL)",1,30
33,Gomez,Marguerite,margueri.gomez33@amu.fr,0600000033,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3976, 43.182, NULL), NULL, NULL)",5,75
34,Leroy,Sylvie,sylvie.leroy34@amu.fr,0600000034,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3124, 43.9734, NULL), NULL, NULL)",5,62
35,Picard,Serge,serge.picard35@amu.fr,0600000035,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8437, 43.0174, NULL), NULL, NULL)",4,28
36,Morancey,Claude,claude.morancey36@amu.fr,0600000036,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5881, 43.1231, NULL), NULL, NULL)",3,66
37,Roy,Emilie,emilie.roy37@amu.fr,0600000037,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8519, 43.8497, NULL), NULL, NULL)",5,9
38,Bilar,Stephane,stephane.bilar38@amu.fr,0600000038,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1708, 43.3694, NULL), NULL, NULL)",2,11
39,Deschamps,Danielle,danielle.deschamp39@amu.fr,0600000039,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.699, 43.4545, NULL), NULL, NULL)",4,11
40,Scila,Christophe,christop.scila40@amu.fr,0600000040,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8058, 43.2213, NULL), NULL, NULL)",2,59
41,Berger,Manon,manon.berger41@amu.fr,0600000041,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1354, 43.769, NULL), NULL, NULL)",1,1
42,Pelletier,Younes,younes.pelletie42@amu.fr,0600000042,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6136, 43.919, NULL), NULL, NULL)",1,79
43,Martin,Virginie,virginie.martin43@amu.fr,0600000043,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1527, 43.7894, NULL), NULL, NULL)",6,63
44,Navarro,Serge,serge.navarro44@amu.fr,0600000044,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9957, 43.5903, NULL), NULL, NULL)",6,66
45,Bilar,Chloe,chloe.bilar45@amu.fr,0600000045,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6117, 43.2064, NULL), NULL, NULL)",6,8
46,Fontaine,Theo,theo.fontaine46@amu.fr,0600000046,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6737, 43.9041, NULL), NULL, NULL)",4,28
47,Boyer,Younes,younes.boyer47@amu.fr,0600000047,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9596, 43.2014, NULL), NULL, NULL)",5,63
48,Leclerc,Lee,lee.leclerc48@amu.fr,0600000048,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2042, 43.9823, NULL), NULL, NULL)",5,15
49,Fournier,Karine,karine.fournier49@amu.fr,0600000049,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9595, 43.3957, NULL), NULL, NULL)",1,21
50,Laurent,Sophie,sophie.laurent50@amu.fr,0600000050,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3537, 43.2102, NULL), NULL, NULL)",3,19
51,Meunier,Sebastien,sebastie.meunier51@amu.fr,0600000051,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6309, 43.5468, NULL), NULL, NULL)",2,51
52,Lucas,Olivier,olivier.lucas52@amu.fr,0600000052,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4543, 43.0146, NULL), NULL, NULL)",2,26
53,Roy,Corinne,corinne.roy53@amu.fr,0600000053,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9042, 43.0659, NULL), NULL, NULL)",4,32
54,Nedjar,Stephanie,stephani.nedjar54@amu.fr,0600000054,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5812, 43.9556, NULL), NULL, NULL)",2,53
55,Vidal,Hugo,hugo.vidal55@amu.fr,0600000055,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5748, 43.5477, NULL), NULL, NULL)",3,7
56,Meunier,Guy,guy.meunier56@amu.fr,0600000056,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8485, 43.5933, NULL), NULL, NULL)",1,41
57,Laverand,Xavier,xavier.laverand57@amu.fr,0600000057,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6688, 43.2065, NULL), NULL, NULL)",6,7
58,Fontaine,Claude,claude.fontaine58@amu.fr,0600000058,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2729, 43.5431, NULL), NULL, NULL)",3,11
59,Legrand,Clara,clara.legrand59@amu.fr,0600000059,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0516, 43.6823, NULL), NULL, NULL)",5,8
60,Lafayette,Genevieve,geneviev.lafayett60@amu.fr,0600000060,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2392, 43.2646, NULL), NULL, NULL)",1,4
61,Renard,Laurent,laurent.renard61@amu.fr,0600000061,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2906, 43.4283, NULL), NULL, NULL)",6,2
62,Tremblay,Marcelle,marcelle.tremblay62@amu.fr,0600000062,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.962, 43.0821, NULL), NULL, NULL)",1,64
63,Vincent,Daniel,daniel.vincent63@amu.fr,0600000063,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0531, 43.0055, NULL), NULL, NULL)",4,52
64,Lemaire,Carole,carole.lemaire64@amu.fr,0600000064,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7337, 43.568, NULL), NULL, NULL)",6,42
65,Bilar,Antoine,antoine.bilar65@amu.fr,0600000065,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8694, 43.0963, NULL), NULL, NULL)",5,41
66,Perrin,Anne,anne.perrin66@amu.fr,0600000066,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9681, 43.9649, NULL), NULL, NULL)",2,72
67,Bonnet,Dominique,dominiqu.bonnet67@amu.fr,0600000067,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9997, 43.2355, NULL), NULL, NULL)",1,70
68,Garcia,Mickey,mickey.garcia68@amu.fr,0600000068,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1199, 43.1484, NULL), NULL, NULL)",6,40
69,Durand,Nicole,nicole.durand69@amu.fr,0600000069,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4465, 43.9339, NULL), NULL, NULL)",3,16
70,Vidal,Therese,therese.vidal70@amu.fr,0600000070,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1928, 43.8377, NULL), NULL, NULL)",2,56
71,Cote,Michel,michel.cote71@amu.fr,0600000071,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5035, 43.4165, NULL), NULL, NULL)",1,23
72,Lavoie,Christian,christia.lavoie72@amu.fr,0600000072,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0151, 43.1161, NULL), NULL, NULL)",5,78
73,Perrin,Morgan,morgan.perrin73@amu.fr,0600000073,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7856, 43.3601, NULL), NULL, NULL)",3,4
74,Roy,Sarah,sarah.roy74@amu.fr,0600000074,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9727, 43.5667, NULL), NULL, NULL)",2,47
75,Ouellet,Bruno,bruno.ouellet75@amu.fr,0600000075,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6892, 43.5515, NULL), NULL, NULL)",4,20
76,Salamanca,Aureille,aureille.salamanc76@amu.fr,0600000076,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1286, 43.0198, NULL), NULL, NULL)",1,77
77,Agostinelli,Gilles,gilles.agostine77@amu.fr,0600000077,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.18, 43.9166, NULL), NULL, NULL)",6,38
78,Bouchard,Veronique,veroniqu.bouchard78@amu.fr,0600000078,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4269, 43.4855, NULL), NULL, NULL)",4,22
79,Cote,Rene,rene.cote79@amu.fr,0600000079,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8242, 43.0886, NULL), NULL, NULL)",3,34
80,Lavoie,Genevieve,geneviev.lavoie80@amu.fr,0600000080,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9635, 43.995, NULL), NULL, NULL)",2,61
81,Lemaire,Laetitia,laetitia.lemaire81@amu.fr,0600000081,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1052, 43.86, NULL), NULL, NULL)",5,74
82,Martel,Manon,manon.martel82@amu.fr,0600000082,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7203, 43.5188, NULL), NULL, NULL)",6,77
83,Agostinelli,Rene,rene.agostine83@amu.fr,0600000083,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6753, 43.9832, NULL), NULL, NULL)",5,71
84,Gosselin,Marion,marion.gosselin84@amu.fr,0600000084,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6823, 43.727, NULL), NULL, NULL)",1,43
85,Dubois,Marion,marion.dubois85@amu.fr,0600000085,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0666, 43.7376, NULL), NULL, NULL)",4,17
86,Renard,Genevieve,geneviev.renard86@amu.fr,0600000086,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5886, 43.4421, NULL), NULL, NULL)",6,76
87,Masson,Mickey,mickey.masson87@amu.fr,0600000087,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8348, 43.4938, NULL), NULL, NULL)",2,60
88,Leclerc,Lisa,lisa.leclerc88@amu.fr,0600000088,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1318, 43.6837, NULL), NULL, NULL)",5,60
89,Lavoie,Bruno,bruno.lavoie89@amu.fr,0600000089,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.308, 43.003, NULL), NULL, NULL)",6,56
90,Fournier,Marianne,marianne.fournier90@amu.fr,0600000090,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4739, 43.0791, NULL), NULL, NULL)",1,65
91,Dumont,Albert,albert.dumont91@amu.fr,0600000091,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6504, 43.733, NULL), NULL, NULL)",1,1
92,Girard,Maxime,maxime.girard92@amu.fr,0600000092,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3791, 43.0729, NULL), NULL, NULL)",3,65
93,Lambert,Jacques,jacques.lambert93@amu.fr,0600000093,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4549, 43.2051, NULL), NULL, NULL)",3,39
94,Chevalier,Patrick,patrick.chevalie94@amu.fr,0600000094,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2669, 43.4613, NULL), NULL, NULL)",1,60
95,Gagnon,Alain,alain.gagnon95@amu.fr,0600000095,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3934, 43.6838, NULL), NULL, NULL)",4,51
96,Lefebvre,Isabelle,isabelle.lefebvre96@amu.fr,0600000096,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0277, 43.628, NULL), NULL, NULL)",2,49
97,Pelletier,Lisa,lisa.pelletie97@amu.fr,0600000097,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6651, 43.2691, NULL), NULL, NULL)",5,63
98,Navarro,Steve,steve.navarro98@amu.fr,0600000098,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2584, 43.2798, NULL), NULL, NULL)",4,61
99,Nevot,Mathis,mathis.nevot99@amu.fr,0600000099,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2927, 43.229, NULL), NULL, NULL)",3,79
100,Monnier,Adame,adame.monnier100@amu.fr,0600000100,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2355, 43.6719, NULL), NULL, NULL)",6,5
101,Thomas,Frederic,frederic.thomas101@amu.fr,0600000101,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1522, 43.9408, NULL), NULL, NULL)",2,51
102,Boule,Herve,herve.boule102@amu.fr,0600000102,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.82, 43.2821, NULL), NULL, NULL)",5,59
103,Poirier,Lee,lee.poirier103@amu.fr,0600000103,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3882, 43.61, NULL), NULL, NULL)",5,55
104,Tremblay,Emilie,emilie.tremblay104@amu.fr,0600000104,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0359, 43.5692, NULL), NULL, NULL)",1,57
105,Lemaire,Christelle,christel.lemaire105@amu.fr,0600000105,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1305, 43.0775, NULL), NULL, NULL)",1,38
106,Leblanc,Lea,lea.leblanc106@amu.fr,0600000106,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2128, 43.6205, NULL), NULL, NULL)",6,57
107,Meunier,Nathalie,nathalie.meunier107@amu.fr,0600000107,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1092, 43.2652, NULL), NULL, NULL)",2,28
108,Guerin,Lisa,lisa.guerin108@amu.fr,0600000108,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9566, 43.4703, NULL), NULL, NULL)",1,50
109,Nicolas,Maxime,maxime.nicolas109@amu.fr,0600000109,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0217, 43.1288, NULL), NULL, NULL)",6,26
110,Vincent,Sylvain,sylvain.vincent110@amu.fr,0600000110,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7585, 43.2153, NULL), NULL, NULL)",2,43
111,Bouchard,Louis,louis.bouchard111@amu.fr,0600000111,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2571, 43.4293, NULL), NULL, NULL)",4,67
112,Roux,Odile,odile.roux112@amu.fr,0600000112,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9156, 43.674, NULL), NULL, NULL)",1,53
113,Dumont,Annie,annie.dumont113@amu.fr,0600000113,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5419, 43.0712, NULL), NULL, NULL)",5,51
114,Leblanc,Philippe,philippe.leblanc114@amu.fr,0600000114,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7729, 43.7177, NULL), NULL, NULL)",5,5
115,Dupuis,Denis,denis.dupuis115@amu.fr,0600000115,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2374, 43.7407, NULL), NULL, NULL)",3,28
116,Fontaine,Raphael,raphael.fontaine116@amu.fr,0600000116,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7194, 43.0238, NULL), NULL, NULL)",3,43
117,Caron,Marcel,marcel.caron117@amu.fr,0600000117,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8688, 43.645, NULL), NULL, NULL)",5,46
118,Leroy,Julie,julie.leroy118@amu.fr,0600000118,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.102, 43.482, NULL), NULL, NULL)",3,63
119,Leroy,Richard,richard.leroy119@amu.fr,0600000119,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8685, 43.7081, NULL), NULL, NULL)",4,5
120,Vincent,Julien,julien.vincent120@amu.fr,0600000120,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7003, 43.3271, NULL), NULL, NULL)",1,12
121,Nicolas,Serge,serge.nicolas121@amu.fr,0600000121,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9978, 43.5155, NULL), NULL, NULL)",5,10
122,Renard,Pascale,pascale.renard122@amu.fr,0600000122,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9111, 43.9962, NULL), NULL, NULL)",3,58
123,Morin,Michele,michele.morin123@amu.fr,0600000123,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3165, 43.4842, NULL), NULL, NULL)",2,10
124,Guerin,Mathias,mathias.guerin124@amu.fr,0600000124,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4394, 43.9549, NULL), NULL, NULL)",5,17
125,Lafayette,Antoine,antoine.lafayett125@amu.fr,0600000125,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8982, 43.3765, NULL), NULL, NULL)",1,4
126,Bilar,Roland,roland.bilar126@amu.fr,0600000126,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4313, 43.6055, NULL), NULL, NULL)",2,29
127,Chevalier,Christiane,christia.chevalie127@amu.fr,0600000127,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7206, 43.297, NULL), NULL, NULL)",5,31
128,Monnier,Sylvie,sylvie.monnier128@amu.fr,0600000128,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6268, 43.7928, NULL), NULL, NULL)",4,57
129,Nevot,Brigitte,brigitte.nevot129@amu.fr,0600000129,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8894, 43.5261, NULL), NULL, NULL)",1,48
130,Fabre,Adame,adame.fabre130@amu.fr,0600000130,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0174, 43.3801, NULL), NULL, NULL)",5,1
131,Lambert,Roland,roland.lambert131@amu.fr,0600000131,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8868, 43.2526, NULL), NULL, NULL)",2,16
132,Cote,Arthur,arthur.cote132@amu.fr,0600000132,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6788, 43.896, NULL), NULL, NULL)",5,68
133,Lucas,Gilles,gilles.lucas133@amu.fr,0600000133,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6692, 43.7193, NULL), NULL, NULL)",3,38
